MasterID,OldCaseID,CaseID,AttackID,Status,AttackDate,AttackYear,AttackMonth,AttackQuarter,DayOfWeek,Database,Campaign,Country,Province,District,City,Latitude,Longitude,Suicide,ModeGroup,Claimed,ClaimGroup,ClaimGrouping,ctAimPoints,TT1,TT2,TT3,TT4,tgtDisp,tgtMobile,AttackType,AttackType2,ComplexAttack,LeaderRank,LeaderKilled,CivKilledHi,PolKilledHi,SecKilledHi,KilledHi,Suspected,SuspectGroup,SuspectGrouping,Denied,DeniedGroup,DeniedGrouping,Summary,LastUpdate,attribGrouping,attribProbability,attribConfidence,attribBasis,AttribTable,tgtDisp2,CaseAttacks,CaseAttacks_Criteria,CoinPhase,SecGrouping,CivGrouping,DecapLogic,Decap,DecapGrouping,PolGrouping,AreaEthnicity,InEthnGroup,InEthnGroupPct,Control_Incum,Control_Ins,HomeTerr_Ins,Source,tgtGrouping,SuicideText,CaseText,tgtGrouping2,CoinPhaseName,ControlGrouping,Control_Iraq,Ethnicity_Bagh
234,4513,AF-W-05233,201000140,Unverified,1/8/2010 0:00,2010,1,1,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,0,Unknown Group,NA,1,Civilian,Collaborator (alleged),Afghan,Individual,Unspecified,0,Armed Assault,DF,,NA,NA,1,0,0,1,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 8 January 2010, in Gul Tepa, Kunduz, Kunduz,, Afghanistan, assailants attacked a civilian by unknown means, killing the civilian, whom they accused of spying for the United States.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Open,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
235,4514,AF-W-05300,201006032,Unverified,1/22/2010 0:00,2010,1,1,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Individuals,Unspecified,0,Roadside IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 22 January 2010, in Kunduz, Kunduz, Afghanistan, an improvised explosive device (IED) exploded when it was struck, injuring six civilians.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Unspecified,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
236,4515,AF-W-05289,201006036,Unverified,1/22/2010 0:00,2010,1,1,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Unknown,Unknown,Unspecified,Unknown,Unspecified,0,IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 22 January 2010, in Kunduz, Kunduz, Afghanistan, assailants detonated an improvised explosive device (IED) but caused no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Unspecified,0,Target unknown,3,NA,NA,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Unable to Determine,No,Yes,NA,The Surge,NA,,
237,4516,AF-W-05305,201006037,Unverified,1/22/2010 0:00,2010,1,1,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,Transportation,Afghan,Bridge,Unspecified,0,IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 22 January 2010, in Kunduz, Kunduz, Afghanistan, assailants detonated an improvised explosive devices (IED) near a bridge, damaging the bridge but causing no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Civilian Facility,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Institutions,,
238,4517,AF-W-05516,201006761,Unverified,3/10/2010 0:00,2010,3,1,4,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,1,Taliban (IEA),Afghan Taliban,1,Security,Tribal,Afghan,Checkpoint,Checkpoint,0,Armed Assault,DF,,NA,NA,0,0,1,1,0,NA,NA,0,NA,NA,"On 10 March 2010, in Talwaka, Kunduz, Kunduz, Afghanistan, armed assailants fired on a tribal militia checkpoint, killing one militia member, injuring one other, and damaging the checkpoint.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Checkpoint,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Local Militias,No,Yes,Kindred,The Surge,NA,,
239,4518,AF-W-05644,201007840,Unverified,4/1/2010 0:00,2010,4,2,5,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,1,Taliban (IEA),Afghan Taliban,1,Civilian,Media,Japanese,Individuals,Vehicle,1,Kidnapping/Released,Kidnapping,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 1 April 2010, in Kunduz, Kunduz, Afghanistan, on the Baghlan-Kondoz Highway, armed assailants kidnapped a Japanese journalist.  On 4 September 2010, the assailants released the victim.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Vehicle,1,NA,3,NA,Outgroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Occupier Civilians,No,Yes,Government,The Surge,NA,,
240,4519,AF-W-05747,201008184,Unverified,4/18/2010 0:00,2010,4,2,1,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Individuals,Unspecified,0,IED,IED,,NA,NA,1,0,0,1,0,NA,NA,0,NA,NA,"On 18 April 2010, in Kunduz, Kunduz, Afghanistan, assailants detonated an remote-controlled improvised explosive device (IED), killing one civilian.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
241,4520,AF-W-05790,201008410,Unverified,4/24/2010 0:00,2010,4,2,7,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,0,Unknown Group,NA,1,Civilian,Education,Afghan,Facility/Building,Civilian Facility,0,Armed Assault,DF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 24 April 2010, in Kunduz, Kunduz, Afghanistan, assailants released a toxic gas inside a girls' school, injuring 50 students and one teacher.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Civilian Facility,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Institutions,,
242,4521,AF-W-05768,201008636,Unverified,4/22/2010 0:00,2010,4,2,5,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Individuals,Unspecified,0,IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 22 April 2010, in Kunduz, Kunduz, Afghanistan, assailants detonated a remote-controlled improvised explosive device (IED) but caused no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Unspecified,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
243,4522,AF-W-05925,201008975,Unverified,5/11/2010 0:00,2010,5,2,3,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,0,Unknown Group,NA,1,Civilian,Education,Afghan,Facility/Building,Civilian Facility,0,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 11 May 2010, in Kunduz, Kunduz, Afghanistan, assailants released a toxic gas inside a girls' school, wounding 30 students.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Civilian Facility,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Institutions,,
244,4523,AF-W-05905,201009159,Unverified,5/7/2010 0:00,2010,5,2,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Security,Police,Afghan,Convoy,Convoy,1,Roadside IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 7 May 2010, in the morning, near Kunduz, Kunduz, Afghanistan, assailants detonated an improvised explosive device (IED) targeting a police convoy, wounding two police officers and damaging one vehicle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
245,4524,AF-W-05904,201009161,Unverified,5/7/2010 0:00,2010,5,2,6,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Vehicle,Vehicle,1,Roadside IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 7 May 2010, in the morning, near Kunduz, Kunduz, Afghanistan, assailants detonated an improvised explosive device (IED) targeting a civilian vehicle, causing no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
246,4525,AF-W-06059,201009487,Unverified,5/25/2010 0:00,2010,5,2,3,WITS,Afghanistan,Afghanistan,Kunduz,Kunduz,Kunduz,36.72,68.87,0,Other,0,Unknown Group,NA,1,Civilian,General,Afghan,Individuals,Home,0,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 25 May 2010, in Kunduz, Kunduz, Afghanistan, assailants fired two rocket-propelled grenades (RPG) at a house, wounding two civilians and damaging the house.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Home,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,1,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
