MasterID,OldCaseID,CaseID,AttackID,Status,AttackDate,AttackYear,AttackMonth,AttackQuarter,DayOfWeek,Database,Campaign,Country,Province,District,City,Latitude,Longitude,Suicide,ModeGroup,Claimed,ClaimGroup,ClaimGrouping,ctAimPoints,TT1,TT2,TT3,TT4,tgtDisp,tgtMobile,AttackType,AttackType2,ComplexAttack,LeaderRank,LeaderKilled,CivKilledHi,PolKilledHi,SecKilledHi,KilledHi,Suspected,SuspectGroup,SuspectGrouping,Denied,DeniedGroup,DeniedGrouping,Summary,LastUpdate,attribGrouping,attribProbability,attribConfidence,attribBasis,AttribTable,tgtDisp2,CaseAttacks,CaseAttacks_Criteria,CoinPhase,SecGrouping,CivGrouping,DecapLogic,Decap,DecapGrouping,PolGrouping,AreaEthnicity,InEthnGroup,InEthnGroupPct,Control_Incum,Control_Ins,HomeTerr_Ins,Source,tgtGrouping,SuicideText,CaseText,tgtGrouping2,CoinPhaseName,ControlGrouping,Control_Iraq,Ethnicity_Bagh
1,1171,AF-W-01124,200695731,Unverified,10/3/2006 0:00,2006,10,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Civilian,Religious,Afghan,Facility/Building,School (Religious),0,Arson,Arson,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 3 October 2006, at night, in Char Bolagh, Balkh, Afghanistan, assailants set fire to a religious  elementary school, damaging several classrooms but causing no injuries.  The school was located near a mosque.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Civilian Facility,1,NA,2,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,Hearts and Minds,Institutions,,
2,1172,AF-W-00696,200699161,Unverified,4/22/2006 0:00,2006,4,2,7,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Home,0,Armed Assault,DF,,Political Leader,No,0,0,0,0,0,NA,NA,0,NA,NA,"On 22 April 2006, in Char Bolagh, Balkh, Afghanistan, assailants detonated two explosive devices at the home of a political leader, causing minor damage to the house but no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Home,1,NA,2,NA,NA,NA,No,NA,Unknown,Pashtun,Pashtuns,0.65,-9999,-9999,1,,National Political,No,Yes,Government,Hearts and Minds,NA,,
3,1173,AF-W-00915,200699310,Unverified,7/10/2006 0:00,2006,7,3,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Civilian Support,Nato,Facility/Building,Government Facility,0,Projectile,IDF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 10 July 2006, at about 3:00 AM, in Char Bolagh, Balkh, Afghanistan, assailants fired a mortar upon a South Korean road construction company's camp but missed their target, causing no injuries or damage.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Government Facility,1,NA,2,Government/Occupier,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Occupier Military,No,Yes,Government,Hearts and Minds,NA,,
4,1174,AF-W-00971,200699469,Unverified,7/26/2006 0:00,2006,7,3,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 26 July 2006, in Char Bolagh, Balkh, Afghanistan, armed assailants fired upon a highway police security checkpoint, wounding one police officer and damaging the checkpoint.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Checkpoint,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
5,1175,AF-W-01580,200704999,Unverified,5/4/2007 0:00,2007,5,2,6,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Home,0,Projectile,IDF,,District Chief,No,0,0,0,0,0,NA,NA,0,NA,NA,"On 4 May 2007, in the evening, in Char Bolagh, Balkh, Afghanistan, assailants launched a grenade into the home of Char Bolagh's District Chief, causing unspecified damage to the house but no injuries.",,Afghan Taliban,-9999,,Attributed,NA,Home,1,NA,2,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Local Political,No,Yes,Government,Hearts and Minds,Individuals,,
6,1176,AF-W-01698,200706815,Unverified,6/6/2007 0:00,2007,6,2,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Projectile,IDF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 6 June 2007, at midnight, in Temorak, Char Bolagh, Balkh, Afghanistan, armed assailants fired a rocket at a police highway post, injuring three officers.   No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Checkpoint,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
7,1177,AF-W-01893,200709499,Unverified,7/22/2007 0:00,2007,7,3,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,2,2,0,NA,NA,0,NA,NA,"On 22 July 2007, in Char Bolagh, Balkh, Afghanistan, on the Mazar to Shibarghan highway, armed assailants ambushed and fired upon a police vehicle, killing two officers, injuring three others, and damaging the vehicle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,2,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,Hearts and Minds,NA,,
8,1178,AF-W-02468,200802468,Unverified,3/17/2008 0:00,2008,3,1,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,1,Taliban (IEA),Afghan Taliban,1,Political,NGO,Foreign,Vehicle,Vehicle,1,Armed Assault,DF,,NA,NA,0,1,0,1,0,NA,NA,0,NA,NA,"On 17 March 2008, in Char Bolagh, Balkh, Afghanistan, armed assailants fired upon a vehicle belonging to the non-governmental organization (NGO) ZAWA, killing an NGO worker and damaging the vehicle.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Vehicle,1,NA,2,NA,NA,NA,No,NA,NGO,Pashtun,Pashtuns,0.65,-9999,-9999,1,,NGOs,No,Yes,Government,Hearts and Minds,NA,,
9,1179,AF-W-03045,200809327,Unverified,8/31/2008 0:00,2008,8,3,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Tribal,Afghan,Leader,Unspecified,0,Armed Assault,DF,,Tribal Elder,Yes,0,1,0,1,0,NA,NA,0,NA,NA,"On 31 August 2008, in Char Bolagh, Balkh, Afghanistan, assailants fired upon and killed a tribal elder.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,2,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Local Political,No,Yes,Government,Hearts and Minds,Individuals,,
10,1183,AF-W-03197,200813502,Unverified,10/14/2008 0:00,2008,10,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Unspecified,0,Armed Assault,DF,,Government Official,Yes,0,1,0,1,0,NA,NA,0,NA,NA,"On 14 October 2008, in the evening, in Char Bolagh, Balkh, Afghanistan, assailants fired upon and killed one government official.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,2,NA,NA,NA,No,NA,National,Pashtun,Pashtuns,0.65,-9999,-9999,1,,National Political,No,Yes,Government,Hearts and Minds,NA,,
11,1184,AF-W-03739,200903384,Unverified,4/10/2009 0:00,2009,4,2,6,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,1,Taliban (IEA),Afghan Taliban,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,1,1,0,NA,NA,0,NA,NA,"On 10 April 2009, in Char Bolagh, Balkh, Afghanistan, assailants attacked a police patrol, killing one police officer and injuring two others.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
12,1185,AF-W-03983,200904863,Unverified,5/27/2009 0:00,2009,5,2,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Troops,Vehicle,1,Armed Assault,DF,,NA,NA,0,0,1,1,0,NA,NA,0,NA,NA,"On 27 May 2009, at 10:00 AM, in Char Bolagh, Balkh, Afghanistan, on the Mazar-e Sharif to Sheberghan road, armed assailants fired on and killed a border police officer.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
13,1190,AF-W-05054,200912387,Unverified,11/29/2009 0:00,2009,11,4,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Troops,Unspecified,0,Armed Assault,DF,,NA,NA,0,0,1,1,0,NA,NA,0,NA,NA,"On 29 November 2009, in Ab Froshan village, Char Bolagh, Balkh, Afghanistan, armed assailants fired upon and killed a police officer.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
14,1191,AF-W-05364,201005759,Unverified,2/5/2010 0:00,2010,2,1,6,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Unspecified,0,Armed Assault,DF,,District Chief,No,0,0,1,1,0,NA,NA,0,NA,NA,"On 5 February 2010, in Char Bolagh, Balkh, Afghanistan, assailants fired on the district chief and his security guards, killing one security guard.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,3,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Local Political,No,Yes,Government,The Surge,Individuals,,
15,1192,AF-W-05807,201008581,Unverified,4/26/2010 0:00,2010,4,2,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 26 April 2010, in Char Bolagh, Balkh, Afghanistan, assailants attacked a police checkpoint by unknown means, causing no reported injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Checkpoint,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
16,1193,AF-W-06825,201012165,Unverified,7/30/2010 0:00,2010,7,3,6,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Civilian,Religious,Afghan,Leader,Mosque,0,Kidnapping/Killing,Kidnapping,,Religious Leader,No,1,0,0,1,0,NA,NA,0,NA,NA,"On 30 July 2010, in Char Bolagh, Balkh, Afghanistan, armed assailants kidnapped a teacher and a religious leader from the mosque where they were offering prayers.  The assailants later fired upon and killed the teacher.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Civilian Facility,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
17,1194,AF-W-06737,201012392,Unverified,7/22/2010 0:00,2010,7,3,5,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Private Security,Nato,Convoy,Convoy,1,Armed Assault,DF,,NA,NA,0,0,1,1,0,NA,NA,0,NA,NA,"On or about 22 July 2010, in Char Bolagh, Balkh, Afghanistan, assailants attacked a private security convoy by unknown means, killing one guard, injuring two others, and damaging at least one vehicle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,3,Government/Occupier,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Occupier Military,No,Yes,Government,The Surge,NA,,
18,1195,AF-W-06851,201012952,Unverified,8/2/2010 0:00,2010,8,3,2,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Non-suicide Bombing,1,Taliban (IEA),Afghan Taliban,1,Security,Police,Afghan,Troops,Unspecified,0,IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 2 August 2010, in Char Bolagh, Balkh, Afghanistan, assailants detonated an improvised explosive device (IED) targeting police officers, causing no reported injuries or damage.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Open,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
19,1196,AF-W-07318,201014423,Unverified,9/15/2010 0:00,2010,9,3,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Civilian,Religious,Afghan,Leader,Vehicle,1,Armed Assault,DF,,Prayer Leaders,Yes,2,0,0,2,0,NA,NA,0,NA,NA,"On 15 September 2010, in Char Bolagh, Balkh, Afghanistan, assailants fired on two prayer leaders riding a motorcycle, killing both prayer leaders and damaging the motorcycle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
20,1197,AF-W-07346,201014910,Unverified,9/18/2010 0:00,2010,9,3,7,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Polling Station,Government Facility,0,Projectile,IDF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On or about 18 September 2010, in Char Bolagh, Balkh, Afghanistan, assailants fired rockets and/or artillery at a polling center but caused no reported injuries or damage.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Government Facility,1,NA,3,NA,NA,NA,No,NA,National,Pashtun,Pashtuns,0.65,-9999,-9999,1,,National Political,No,Yes,Government,The Surge,NA,,
21,1198,AF-W-08043,201017303,Unverified,11/30/2010 0:00,2010,11,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 30 November 2010, in the morning, in Char Bolagh, Balkh, Afghanistan, armed assailants fired on a police patrol but caused no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
22,1199,AF-W-08020,201017381,Unverified,11/25/2010 0:00,2010,11,4,5,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Convoy,Convoy,1,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 25 November 2010, at 8:15 AM, in Char Bolagh, Balkh, Afghanistan, assailants fired small arms and rocket-propelled grenades (RPG) at a civilian convoy escorted by police officers, causing no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
23,1200,AF-W-08175,201017868,Unverified,12/18/2010 0:00,2010,12,4,7,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Individuals,Unspecified,0,IED,IED,,NA,NA,2,0,0,2,0,NA,NA,0,NA,NA,"On 18 December 2010, in Char Bolagh, Balkh, Afghanistan, a landmine improvised explosive device (IED) exploded when it was stepped on, killing one civilian and her child.  Authorities later discovered and safely defused four other landmine IEDs.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Unspecified,1,NA,3,NA,Ingroup,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Kindred Civilians,No,Yes,Kindred,The Surge,Individuals,,
24,178,AF-W-06977,201013117,Unverified,8/14/2010 0:00,2010,8,3,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Checkpoint,Checkpoint,0,Armed Assault,DF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 14 August 2010, in 'Aliabad, Kunduz, Afghanistan, assailants attacked a police checkpoint by unknown means, causing no injuries or damage.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Checkpoint,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
25,179,AF-W-06893,201013159,Unverified,8/7/2010 0:00,2010,8,3,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Non-suicide Bombing,0,Unknown Group,NA,1,Civilian,General,Afghan,Vehicle,Vehicle,1,Roadside IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 7 August 2010, in 'Aliabad, Kunduz, Afghanistan, assailants prematurely detonated an improvised explosive device (IED), damaging a civilian vehicle but causing no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,NA,UTD,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Unable to Determine,No,Yes,NA,The Surge,NA,,
26,180,AF-W-06910,201013161,Unverified,8/7/2010 0:00,2010,8,3,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Other,0,Unknown Group,NA,1,Civilian,General,Afghan,Individual,Unspecified,0,Kidnapping,Kidnapping,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 7 August 2010, in 'Aliabad, Kunduz, Afghanistan, assailants kidnapped one civilian.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Open,1,NA,3,NA,UTD,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Unable to Determine,No,Yes,NA,The Surge,NA,,
27,181,AF-W-07420,201014379,Unverified,9/18/2010 0:00,2010,9,3,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Other,0,Unknown Group,NA,1,Civilian,General,Afghan,Residential Area,Unspecified,0,Projectile,IDF,,NA,NA,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 18 September 2010, in 'Aliabad, Kunduz, Afghanistan, assailants fired a rocket into the city, injuring three civilians.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Unspecified,1,NA,3,NA,UTD,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Unable to Determine,No,Yes,NA,The Surge,NA,,
28,182,AF-W-07413,201014478,Unverified,9/18/2010 0:00,2010,9,3,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Other,0,Unknown Group,NA,1,Political,Domestic,Afghan,Polling Station,Government Facility,0,Projectile,IDF,,NA,NA,6,0,0,6,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 18 September 2010, at 8:00 AM, in Arbab Ramazan, 'Aliabad, Kunduz, Afghanistan, assailants fired a mortar which was targeting a polling station, but landed in an area nearby and did not explode.  Later, a group of children detonated the mortar when they began to play with it, killing six children.  No group claimed responsibility, although it was widely believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Government Facility,1,NA,3,NA,NA,NA,No,NA,National,Pashtun,Pashtuns,0.47,-9999,-9999,1,,National Political,No,Yes,Government,The Surge,NA,,
29,183,AF-W-07461,201014787,Unverified,9/21/2010 0:00,2010,9,3,3,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Non-suicide Bombing,0,Unknown Group,NA,1,Political,Domestic,Afghan,Leader,Vehicle,1,Roadside IED,IED,,District Chief,No,0,0,0,0,0,NA,NA,0,NA,NA,"On 21 September 2010, in 'Aliabad, Kunduz, Afghanistan, assailants detonated an improvised explosive device (IED) targeting the vehicle of the district chief, damaging the vehicle but causing no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,NA,NA,NA,No,NA,Local,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Local Political,No,Yes,Government,The Surge,Individuals,,
30,184,AF-W-07682,201015500,Unverified,10/16/2010 0:00,2010,10,4,7,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Non-suicide Bombing,1,Taliban (IEA),Afghan Taliban,1,Security,Police,Afghan,Patrol,Patrol,1,Roadside IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 16 October 2010, in 'Aliabad, Kunduz, Afghanistan, assailants detonated an improvised explosive device (IED) when a police vehicle passed but caused no injuries or damage.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
31,185,AF-W-07848,201016177,Unverified,11/1/2010 0:00,2010,11,4,2,WITS,Afghanistan,Afghanistan,Kunduz,Aliabad,Aliabad,36.52,68.89,0,Non-suicide Bombing,0,Unknown Group,NA,1,Security,Police,Afghan,Leader,Vehicle,1,VBIED,VBIED,,District Chief,No,0,0,0,0,1,Taliban (IEA),Afghan Taliban,0,NA,NA,"On 1 November 2010, at 8:00 AM, in 'Aliabad, Kunduz, Afghanistan, assailants detonated a remotely controlled vehicle-borne improvised explosive device (VBIED) targeting the district chief's vehicle, wounding three police officers and one driver and damaging the vehicle.  No group claimed responsibility, although it was believed the Taliban was responsible.",,Afghan Taliban,-9999,,Suspected,NA,Vehicle,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.47,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
32,1186,AF-W-04140,200905851,Unverified,6/24/2009 0:00,2009,6,2,4,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Political,NGO,Afghan,Vehicle,Vehicle,1,Arson,Arson,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 24 June 2009, in Char Bolagh, Balkh, Afghanistan, assailants set fire to an Afghan Red Crescent vehicle, damaging the vehicle but causing no injuries.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Vehicle,1,NA,3,NA,NA,NA,No,NA,NGO,Pashtun,Pashtuns,0.65,-9999,-9999,1,,NGOs,No,Yes,Government,The Surge,NA,,
33,1187,AF-W-04265,200906469,Unverified,7/16/2009 0:00,2009,7,3,5,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,0,Unknown Group,NA,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On 16 July 2009, in the evening, in Qarsh Tepah village, Char Bolagh, Balkh, Afghanistan, armed assailants fired on a police vehicle, injuring two children bystanders, one police officer, and damaging the vehicle.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
34,1188,AF-W-04917,200910245,Unverified,11/3/2009 0:00,2009,11,4,3,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Other,1,Taliban (IEA),Afghan Taliban,1,Security,Police,Afghan,Patrol,Patrol,1,Armed Assault,DF,,NA,NA,0,0,3,3,0,NA,NA,0,NA,NA,"On 3 November 2009, in Char Bolagh, Balkh, Afghanistan, assailants attacked a police vehicle by unknown means, killing three police officers and damaging the vehicle.  The Taliban claimed responsibility.",,Afghan Taliban,-9999,,Claimed,NA,Patrol/Convoy,1,NA,3,Local/Proxy,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Police,No,Yes,Government,The Surge,NA,,
35,1189,AF-W-05037,200912284,Unverified,11/22/2009 0:00,2009,11,4,1,WITS,Afghanistan,Afghanistan,Balkh,Chahar Bolak,Char Bolagh,36.77,66.7,0,Non-suicide Bombing,0,Unknown Group,NA,1,Unknown,Unknown,Unspecified,Unknown,Unspecified,0,IED,IED,,NA,NA,0,0,0,0,0,NA,NA,0,NA,NA,"On or about 22 November 2009, in Char Bolagh, Balkh, Afghanistan, an improvised explosive device (IED) exploded when it was being transported but caused no injuries or damage.  No group claimed responsibility.",,Afghan Taliban,-9999,,Attributed,NA,Unspecified,0,Target unknown,3,NA,NA,NA,No,NA,NA,Pashtun,Pashtuns,0.65,-9999,-9999,1,,Unable to Determine,No,Yes,NA,The Surge,NA,,
